深圳市华宇讯科技有限公司,深圳,8k-15k,本科
上海至数企业发展有限公司,上海,15k-20k,本科
上海磐农信息科技有限公司,苏州,6k-10k,大专
中企云链（北京）金融信息服务有限公司,北京,12k-20k,本科
上海翌擎智能科技有限公司,成都,8k-12k,本科
深圳进门财经科技股份有限公司,深圳,7k-14k,本科
杭州同花顺数据开发有限公司,杭州,15k-30k,本科
北京多贝兄弟信息技术有限公司,北京,10k-20k,本科
用友网络科技股份有限公司,北京,15k-25k,本科
公司名称,城市,薪资,学历
桑果健康科技发展（上海）有限公司,上海,8k-13k,本科
深圳游马网络有限公司,深圳,6k-12k,大专
广州新视展投资咨询有限公司,广州,15k-25k,本科
广州久邦世纪科技有限公司,广州,7k-10k,本科
杭州展鸿科技有限公司,杭州,8k-12k,本科
上海沃易智信息技术有限公司,武汉,5k-8k,本科
上海游盾网络科技有限公司,上海,9k-14k,本科
北京升鑫网络科技有限公司,武汉,12k-23k,本科
汕尾市铁人信息技术有限公司,深圳,10k-15k,本科
上海弘连网络科技有限公司,上海,7k-11k,本科
民生易贷（珠海）互联网金融信息服务有限公司,深圳,7k-14k,本科
北京金鸿睿信息科技有限公司,北京,8k-16k,本科
即科金融信息服务（上海）有限公司,上海,20k-30k,本科
杭州凡声科技有限公司,杭州,15k-25k,本科
上海商涌科技有限公司,上海,8k-13k,本科
公司名称,城市,薪资,学历
杭州凡声科技有限公司,杭州,15k-25k,本科
广州久邦世纪科技有限公司,广州,7k-10k,本科
上海磐农信息科技有限公司,苏州,6k-10k,大专
万商云集（成都）科技股份有限公司,成都,5k-8k,大专
北京易享信息技术有限公司,北京,9k-10k,本科
广州九尾信息科技有限公司,广州,10k-15k,大专
上海舟恩信息技术有限公司,上海,12k-16k,大专
浙江优创信息技术有限公司,杭州,12k-16k,本科
深圳复临信息科技有限公司,深圳,9k-15k,本科
重庆诺怀软件有限公司,重庆,6k-10k,本科
上海微创软件股份有限公司,上海,12k-13k,大专
浙江数秦科技有限公司,杭州,18k-25k,本科
上海沃易智信息技术有限公司,武汉,5k-8k,本科
广州群接龙网络科技有限公司,广州,12k-18k,本科
福建自贸试验区厦门片区Manteia数据科技有限公司,厦门,10k-15k,本科
公司名称,城市,薪资,学历
北京三快在线科技有限公司,北京,20k-40k,本科
深圳市云房网络科技有限公司,深圳,7k-12k,大专
广东修炼科技股份有限公司,广州,9k-12k,大专
新蛋科技（成都）有限公司,上海,8k-13k,本科
杭州推宝科技有限公司,杭州,10k-15k,本科
深圳市比一比网络科技有限公司,深圳,8k-12k,本科
重庆诺怀软件有限公司,重庆,6k-10k,本科
上海微创软件股份有限公司,上海,12k-13k,大专
北京视野金融信息服务有限公司,北京,8k-15k,大专
深圳平安综合金融服务有限公司,上海,25k-50k,本科
上海易路软件有限公司,上海,8k-15k,本科
上海微创软件股份有限公司,北京,8k-10k,本科
北京众合天下管理咨询有限公司,北京,15k-30k,本科
来未来科技（浙江）有限公司,杭州,15k-30k,本科
深圳市拓保软件有限公司,深圳,12k-16k,本科
公司名称,城市,薪资,学历
深圳佑驾创新科技有限公司,深圳,8k-15k,本科
深圳市拓保软件有限公司,深圳,12k-16k,本科
广州市正佳科技服务集团有限公司,广州,10k-15k,本科
贝壳找房（北京）科技有限公司,北京,25k-40k,本科
上海泰锟医药技术有限公司,上海,15k-20k,本科
瑞庭网络技术（上海）有限公司,北京,25k-32k,本科
北京金山办公软件股份有限公司,武汉,12k-24k,本科
上海易路软件有限公司,上海,8k-15k,本科
上海信数金融信息服务有限公司,上海,8k-10k,本科
腾讯科技（深圳）有限公司,上海,15k-30k,本科
北京牛电科技有限责任公司,北京,15k-25k,本科
腾讯科技（深圳）有限公司,深圳,20k-40k,本科
深圳顺道出行科技有限公司,深圳,9k-13k,本科
深圳市凝趣科技有限公司,深圳,5k-8k,本科
杭州启博科技有限公司,杭州,11k-16k,大专
公司名称,城市,薪资,学历
杭州启博科技有限公司,杭州,11k-16k,大专
上海若古信息科技有限公司,上海,5k-8k,不限
上海中软华腾软件系统有限公司,上海,10k-20k,本科
上海艺联电子商务有限公司,上海,20k-30k,本科
携程计算机技术（上海）有限公司,上海,15k-30k,本科
北京鼎普科技股份有限公司,北京,9k-15k,本科
杭州边锋网络技术有限公司,杭州,10k-20k,本科
深圳市华盛天成科技有限公司,深圳,12k-18k,本科
亿达信息技术有限公司,深圳,11k-14k,本科
北京三快在线科技有限公司,北京,25k-50k,本科
多点生活（中国）数字科技有限公司,成都,15k-30k,本科
腾讯科技（深圳）有限公司,深圳,15k-30k,本科
腾讯科技（深圳）有限公司,深圳,18k-36k,本科
飞书深诺数字科技（上海）有限公司,上海,20k-35k,本科
竹间智能科技（上海）有限公司,上海,20k-40k,本科
公司名称,城市,薪资,学历
东莞证券股份有限公司,武汉,10k-15k,本科
蓝信移动（北京）科技有限公司,北京,17k-30k,本科
安徽百得思维信息科技有限公司,杭州,12k-17k,本科
腾讯科技（深圳）有限公司,深圳,18k-36k,本科
北京达佳互联信息技术有限公司,杭州,25k-50k,本科
深圳市海王星辰医药有限公司,深圳,8k-12k,本科
北京向上一心科技有限公司,北京,18k-35k,本科
北京格灵深瞳信息技术股份有限公司,北京,20k-40k,本科
北京格灵深瞳信息技术股份有限公司,北京,20k-30k,本科
北京易创新科信息技术有限公司,北京,12k-18k,本科
神策网络科技（北京）有限公司,北京,18k-35k,本科
安徽百得思维信息科技有限公司,深圳,12k-17k,大专
北京猫眼文化传媒有限公司,北京,20k-35k,本科
拼途（北京）信息技术有限公司,北京,10k-18k,本科
深圳平安综合金融服务有限公司,上海,20k-40k,本科
公司名称,城市,薪资,学历
上海华钦信息科技股份有限公司,广州,15k-30k,本科
上海游密信息科技有限公司,深圳,15k-30k,本科
北京字节跳动科技有限公司,北京,20k-40k,本科
深圳平安综合金融服务有限公司,上海,20k-40k,本科
武汉时光部落网络有限公司,武汉,10k-15k,本科
北京才如大海科技有限公司,北京,20k-40k,本科
广州极点三维信息科技有限公司,广州,13k-18k,本科
上海晟央网络科技有限公司,上海,5k-6k,本科
